sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit_mean,lambda_fit_std,fit_r2_mean,fit_r2_std,A0_mean,A1_mean,A1_std,n_seed,lambda_fit_se,A1_se,relative_error,unreliable,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,0.1,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.34170220896397324,0.006929271693967438,0.9994131364360427,0.0006316031258260817,0.04980712153622756,0.016995236719244744,0.0004973985624322531,8,0.0024498675017441854,0.00017585694822414325,0.02929337743846384,False,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.22902562289091888,0.0058629636242317285,0.9994342448333124,0.0002777433122654401,0.05016706157288661,0.011468176088281441,0.00032509432335595085,8,0.002072870668272156,0.00011493820028512253,0.031021520856047095,False,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.03119686188798534,0.0041541112123636564,0.970762157028795,0.021008680112844437,0.05043583298701969,-0.0015742266027369105,0.0002307292425578002,8,0.0014687001040327057,8.157510601532813e-05,0.0011388072015430706,False,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.09425993360142033,0.0071420284468626995,0.9974670504657868,0.0019329992756902839,0.0501803916777421,-0.004734389548353716,0.00035253851134616263,8,0.00252508837310192,0.0001246411860011411,0.0037252678131993065,False,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,-0.002181000222810306,0.006450779795020143,0.2760968980752562,0.6390788949940059,0.04989623049111402,-0.00010965791287525087,0.00032149837049043247,8,0.002280695068499955,0.0001136668389571049,,True,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,0,0.0,0.0,1.0,0.37393650107548,0.3881173294347786,0.006002241438488404,0.9911019386758384,0.0078104344527467045,0.04988802083333335,0.019179687500000014,0.0004344155014234464,8,0.0021221128117370237,0.0001535890734545366,0.03792309207181727,False,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.3447665297976216,0.012875757545445676,0.9933720623554539,0.005452465152578064,0.04980712153622756,0.017288399993424533,0.0008482832995871621,8,0.004552267736649246,0.00029991343675269094,0.03852388592708042,False,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.22808487652147932,0.012067539995688943,0.9866552793619121,0.00816025381109407,0.05016706157288661,0.011467155336825824,0.000751008250467688,8,0.004266519681595766,0.00026552151331637363,0.026786493611862562,False,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.030195784345793987,0.012100000296230958,0.14865675690693425,1.0788550095623344,0.05043583298701969,-0.0015437226664322865,0.0006389863651206504,8,0.004277996130912072,0.00022591579593127755,0.030986782228068194,True,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.09563720758377046,0.005780881544959383,0.9264329458050976,0.0624970616924498,0.0501803916777421,-0.004777117319556952,0.00032136942222101087,8,0.0020438502708384726,0.00011362124885923976,0.01839114592247166,False,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,0.005673366078215516,0.009754193096890766,0.13353088659827722,0.39469947979767317,0.04989623049111402,0.00029028853610878555,0.00048439376661217853,8,0.0034486280419072355,0.00017125905856798263,,True,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
