sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.1,microscopic,8,5.928307734087699e-06,3.2014836153042417e-22,0.00044188932308652455,0.0002936857223847074,0.008800653449806527,0.005872598821388969,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,9,1.316882668327984e-06,0.0,-0.00017575270115072165,0.0003304672869127629,-0.003329871148219341,0.006529208413469935,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,10,2.9252529388296023e-07,2.000927259565151e-23,0.0001292863895651174,0.0001933652713776733,0.002607158814152059,0.0038793266156749565,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,11,6.498000894032564e-08,0.0,-4.9026413007096175e-05,0.00017980761073334414,-0.0009338209087649029,0.003577251859212962,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,12,1.4434312690834143e-08,0.0,-0.0003727166054280172,0.00023505519048427488,-0.007422240180694196,0.004710676763218571,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,13,3.206361252552506e-09,0.0,5.9014043184721845e-05,0.00032716343526715234,0.0010856018510158193,0.006423560629316651,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,14,7.122439912499888e-10,0.0,0.0006866440625772231,0.00021225486684899899,0.01369099607042043,0.0042386569231676885,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,15,1.5821408229277712e-10,0.0,0.00024776044877865744,0.00024774463925002053,0.004864563429323268,0.0048981285853129525,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,16,3.5144832590044047e-11,2.442538158648866e-27,1.1705128403170052e-05,0.0003824825043328624,0.0002644250645815775,0.007660919103051421,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,17,7.806885707534834e-12,0.0,0.0006270371241827223,0.0003286472028098472,0.012546641642947864,0.006629808138981182,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
