dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1
microscopic,8,20260809,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.004642918062474506,0.0925999413019839,0.04860883418898224,0.00022968730724152284
microscopic,9,20260810,0,0.0,0.0,1.0,0.72,0.6908706781201592,0.9962778438334606,0.049520833333333326,0.03465104166666667
microscopic,9,20260810,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6345084023043802,0.9946377395540942,0.0501863449209657,0.031158405364237352
microscopic,9,20260810,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4259793662869708,0.9734931958385984,0.0488380650185823,0.021700329091597692
microscopic,9,20260810,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.06759220481061987,0.69899646530894,0.050227683276069614,-0.0034947557043106753
microscopic,9,20260810,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.18634442813356933,0.9134639346563785,0.05028848185543564,-0.00931852841760077
microscopic,9,20260810,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,-0.010207605890141051,-2.1224681076546195,0.050343355888048114,-0.0005613048259401174
microscopic,10,20260811,0,0.0,0.0,1.0,0.72,0.6997338548915191,0.9869214291292382,0.04930729166666667,0.03434895833333333
microscopic,10,20260811,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.627124435433605,0.9509330424636429,0.049581008209872525,0.030021376287416777
microscopic,10,20260811,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.41846207863325313,0.9751861009211802,0.049736863998324755,0.020336580915955253
microscopic,10,20260811,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.06654788645051819,-0.07699577229642562,0.04981963995106807,-0.0034387754112196953
microscopic,10,20260811,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.1944516205067838,0.8334224293013847,0.04971612905804451,-0.009929460109950872
microscopic,10,20260811,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.005678164756847339,-0.08204120391979153,0.05056684008254712,0.0003172073467065926
microscopic,11,20260812,0,0.0,0.0,1.0,0.72,0.6892253622214014,0.9946694871934286,0.049937499999999996,0.034187499999999996
microscopic,11,20260812,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6047865204999802,0.9839066255396607,0.05134963609211569,0.03183547167801232
microscopic,11,20260812,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4256673642036257,0.9940526777015469,0.050353917445855136,0.02182667502653951
microscopic,11,20260812,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.04318736930172427,0.4070805953636272,0.05026642625525483,-0.002130641105404909
microscopic,11,20260812,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.19047005067103212,0.94930048130342,0.05023857504774783,-0.009670658556724568
microscopic,11,20260812,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.02218098873008196,-0.554944005378134,0.049092087364455306,0.0010849292966946084
