sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
B,0.4,microscopic,31,4.4898588267568344e-20,2.274790926509412e-36,-0.0004943878226350252,0.0005034491771686388,-0.010032093996840286,0.010148100215656645,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,32,1.066869156101458e-20,0.0,8.021250643760122e-05,0.0010660537833366217,0.0014984124045928204,0.021420053388090443,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,33,2.535068117192454e-21,0.0,0.0009275312852887531,0.0007210628991386452,0.018614640528259986,0.014406771023127459,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,34,6.023766196681137e-22,3.5543608226709563e-38,0.00018154877827539424,0.0008573760965131681,0.003656211711466076,0.01718839745699176,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,35,1.4313524337351615e-22,8.885902056677391e-39,0.0002699496246137316,0.0006741623944673571,0.005346254713075449,0.013438524515412064,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,36,3.4011442719811464e-23,0.0,-0.00040737112327747125,0.0008189866177934802,-0.00815311343896973,0.016370135019722634,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,37,8.081714947480581e-24,0.0,9.642945490171064e-05,0.0007300779494522386,0.0019352875588601508,0.014612396212452805,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,38,1.9203571289343146e-24,0.0,-0.00027545915301804326,0.0007819370291991439,-0.005575046640384662,0.01564367809680275,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,39,4.563105141190956e-25,0.0,-0.0003457183287337964,0.000616009822808375,-0.006968984293023113,0.01231355778742505,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,40,1.0842737642824948e-25,0.0,0.0005382011962312983,0.0003621984478707426,0.01088345511789463,0.007299881409683096,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.6,gaussian_map,0,1.0,0.0,0.04999543594047367,0.00020008188007488537,1.0,0.0,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,1,0.3564262922066384,2.0981243021257878e-17,0.017689606278978313,0.00012522262391229564,0.3538745081947747,0.0030541292718889363,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,2,0.12703970177617208,0.0,0.006343891375219299,0.00012356629110496078,0.12688723929563264,0.0023969592691380787,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,3,0.04528028986711812,2.6226553776572348e-18,0.002249587310124839,0.00011183997802984029,0.044983389144232576,0.0022018358697872146,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,4,0.016139085827378736,0.0,0.0007316703071990136,5.490043179529489e-05,0.014628317416769156,0.0010839220809952753,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,5,0.00575239452105731,3.2783192220715434e-19,0.000258042658541298,4.0133665026917775e-05,0.005167814309607031,0.0008080349412082446,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,6,0.00205030465045024,0.0,0.00013369579845554178,3.2021783931773314e-05,0.002677065388739725,0.0006474775263615734,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,7,0.000730782484454007,0.0,7.532775391911361e-05,2.804435204072045e-05,0.0014952305805911433,0.0005587328451146935,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,8,0.0002604700913434971,2.0489495137947147e-20,3.669272288992872e-05,1.840188775135564e-05,0.0007379201820238337,0.00036645391271780334,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,9,9.283838888828715e-05,0.0,3.1582643397823615e-05,1.6584373255534288e-05,0.0006333328951805649,0.00033017807386534806,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,10,3.309004272589018e-05,0.0,2.941270768569544e-05,2.104696582432864e-05,0.0005939856887948328,0.0004215078336678912,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,11,1.1794161237748287e-05,0.0,6.693907093757423e-06,1.0552633468867026e-05,0.0001350992351141278,0.0002098256124969458,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,12,4.20374915965788e-06,0.0,2.278547840155762e-06,1.1660740817190438e-05,4.580583353659207e-05,0.000233795800030793,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,13,1.4983267263436306e-06,0.0,-5.752742917457645e-07,1.2014681038050731e-05,-9.68317051550451e-06,0.0002405359483182491,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,14,5.34043039584771e-07,0.0,-5.404198693531464e-06,3.7981434368204756e-06,-0.00010728757591748082,7.584282483632131e-05,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,15,1.90346980477963e-07,1.0004636297825755e-23,-6.246815983963093e-06,3.942174502938971e-06,-0.0001244166479251837,7.832727003715499e-05,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,16,6.784466848448977e-08,0.0,-6.169358999593265e-07,5.788022233591079e-06,-1.2698574829409528e-05,0.00011752979173963745,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,17,2.4181623633915262e-08,1.2505795372282194e-24,-3.095475923202732e-07,3.2957840783871054e-06,-5.522159266419174e-06,6.622550897027837e-05,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,18,8.61896645137284e-09,0.0,-3.399119589063844e-07,2.225246116156036e-07,-6.836849255788236e-06,4.475961464979077e-06,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,19,3.07202625491623e-09,1.5632244215352742e-25,-1.594719884624466e-06,1.2547188953898855e-06,-3.1926599063697614e-05,2.5047833115652382e-05,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,20,1.0949509276012373e-09,7.816122107676371e-26,0.0,0.0,0.0,0.0,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
