sweep_parameter,sweep_value,dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.1,microscopic,4,50260805,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.3573328076661238,0.9959896505486175,0.04967762591706715,0.01775135193427193,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,4,50260805,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.23913574952200256,0.9863172048206306,0.0501621583856888,0.01196555068001185,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,4,50260805,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.052953329030216656,0.6787366494104989,0.05044241865984709,-0.0026402613265539055,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,4,50260805,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.09171599687413655,0.9428966486635532,0.05012909746667922,-0.004597008817763466,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,4,50260805,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,-0.008691348736021974,0.8511966969100165,0.049373337364455316,-0.0004295738787784469,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,5,50260806,0,0.0,0.0,1.0,0.37393650107548,0.39314256659769364,0.994402690149085,0.05075520833333336,0.02039583333333335,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,5,50260806,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.33616980179808587,0.9917830535985043,0.050585433569585864,0.017227553264795442,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,5,50260806,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.21160561888565013,0.9938739486256614,0.04939856174424101,0.010349697944150991,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,5,50260806,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.057253696349985624,0.8804977000101161,0.04996208155316862,-0.002813715240446893,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,5,50260806,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.09601798709222725,0.8747757768265096,0.05060979521703725,-0.004720602973531012,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,5,50260806,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,0.0057945785218804025,0.021459679544774457,0.05079338915865095,0.00029939239323752424,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,6,50260807,0,0.0,0.0,1.0,0.37393650107548,0.4137250123200036,0.9957979771604571,0.049932291666666684,0.02068750000000002,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,6,50260807,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.3583741872623628,0.9946285593982229,0.05091090408471621,0.0181406931608507,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,6,50260807,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.22541491614189732,0.9946997991498728,0.050761915622756545,0.011501723785585694,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,6,50260807,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.024577591311632365,0.8409368698211654,0.05021951710566092,-0.0012283518413595033,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
